tourid,tour_nombre,tour_precio
0,TOUR CANUTO DE RISCO BLANCO SALTILLO,15368.34
0,TOUR CANUTO DE RISCO BLANCO SALTILLO,15368.34
1,TOUR SUBIDA AL ALJIBE AL MOGOTE,13146.27
1,TOUR SUBIDA AL ALJIBE AL MOGOTE,13146.27
2,TOUR PATRIMONIO FRONTERIZO DE CHAVARRIA,20486.91
2,TOUR PATRIMONIO FRONTERIZO DE CHAVARRIA,20486.91
3,TOUR SIERRA DEL CALVARIO DE SAN CARLOS DEL TIRADERO,7711.11
3,TOUR SIERRA DEL CALVARIO DE SAN CARLOS DEL TIRADERO,7711.11
4,TOUR ALGODONALES-LOS NACIMIENTOS DEL JUDÍO,11891.75
4,TOUR ALGODONALES-LOS NACIMIENTOS DEL JUDÍO,11891.75
5,TOUR LAS LOMAS DE CÁMARA AL RELOJ Y AL SIMANCÓN,13163.86
5,TOUR LAS LOMAS DE CÁMARA AL RELOJ Y AL SIMANCÓN,13163.86
6,TOUR LA PEÑA ALHAJA,8723.42
6,TOUR LA PEÑA ALHAJA,8723.42
7,TOUR SALINA LA TAPA ALHAJA,21846.74
7,TOUR SALINA LA TAPA ALHAJA,21846.74
8,TOUR COLADA DE LA COSTA LANCES,22786.52
8,TOUR COLADA DE LA COSTA LANCES,22786.52
9,TOUR LA ATALAYA CAÑILLO,4847.71
9,TOUR LA ATALAYA CAÑILLO,4847.71
10,TOUR TORVISCALEJO-NACIMIENTO DEL HONDÓN CAÑILLO,10640.37
10,TOUR TORVISCALEJO-NACIMIENTO DEL HONDÓN CAÑILLO,10640.37
11,TOUR ERMITA DE LOS REMEDIOS CAMARINAL,10648.22
11,TOUR ERMITA DE LOS REMEDIOS CAMARINAL,10648.22
12,TOUR EL TESORILLO DE GARCIAGO,13241.76
12,TOUR EL TESORILLO DE GARCIAGO,13241.76
13,TOUR RIO MAJACEITE DEL EMBALSE DE ARCOS,4460.88
13,TOUR RIO MAJACEITE DEL EMBALSE DE ARCOS,4460.88
14,TOUR SUBIDA AL MOGOTE DEL ALJIBE,13162
14,TOUR SUBIDA AL MOGOTE DEL ALJIBE,13162
15,TOUR LAGUNA DE LOS TOLLOS DE LA PLAZA DE ARMAS,8116.27
15,TOUR LAGUNA DE LOS TOLLOS DE LA PLAZA DE ARMAS,8116.27
16,TOUR ANTIGUA SALINA-FANGOS MAREALES DEL RÍO BARBATE DEL CABRERO,11815.58
16,TOUR ANTIGUA SALINA-FANGOS MAREALES DEL RÍO BARBATE DEL CABRERO,11815.58
