resvid,uid,habid,fecha_inicio,fecha_fin
0,332,0,2027-02-15,2027-02-26
1,7,1,2092-06-02,2092-06-15
2,228,2,2026-07-26,2026-07-27
3,274,3,2039-10-05,2039-10-15
4,219,4,2083-10-11,2083-10-16
5,119,5,2030-12-10,2030-12-26
6,200,6,2065-12-03,2065-12-22
7,274,7,2097-06-18,2097-06-26
8,115,8,2070-06-29,2070-07-18
9,214,9,2038-08-27,2038-09-10
10,321,10,2062-06-20,2062-06-30
11,168,11,2095-12-21,2096-01-01
12,63,12,2093-08-09,2093-08-22
13,2,13,2035-03-31,2035-04-02
14,26,14,2028-07-01,2028-07-15
15,426,15,2059-04-10,2059-04-21
16,199,16,2085-10-08,2085-10-11
17,241,17,2044-03-18,2044-04-03
18,330,18,2076-02-09,2076-02-17
19,116,19,2028-08-04,2028-08-11
20,379,20,2067-11-12,2067-11-14
21,394,21,2020-10-25,2020-11-03
22,254,22,2036-10-27,2036-11-05
23,71,23,2036-09-25,2036-10-11
24,43,24,2062-11-22,2062-12-02
25,22,25,2054-12-10,2054-12-23
26,66,26,2043-06-09,2043-06-25
27,231,27,2050-08-20,2050-08-24
28,372,28,2072-01-04,2072-01-05
29,177,29,2069-12-07,2069-12-07
30,104,30,2053-12-20,2054-01-08
31,85,31,2081-07-26,2081-08-01
32,257,32,2027-01-10,2027-01-21
33,426,33,2043-01-13,2043-01-14
34,199,34,2059-12-27,2059-12-31
35,59,35,2055-04-07,2055-04-12
36,148,36,2086-09-16,2086-10-03
37,189,37,2029-12-27,2030-01-11
38,362,38,2066-02-14,2066-02-22
39,301,39,2069-04-13,2069-04-29
40,298,40,2052-03-01,2052-03-20
41,384,41,2053-11-14,2053-11-30
42,90,42,2097-05-19,2097-05-25
43,82,43,2096-07-13,2096-07-17
44,395,44,2054-03-10,2054-03-26
45,130,45,2072-10-14,2072-10-14
46,410,46,2055-09-26,2055-10-08
47,410,47,2033-01-29,2033-02-16
48,84,48,2019-05-25,2019-06-13
49,45,49,2079-10-12,2079-10-18
50,166,50,2026-01-18,2026-01-21
51,370,51,2096-02-18,2096-03-04
52,9,52,2071-09-07,2071-09-21
53,443,53,2037-07-21,2037-08-02
54,338,54,2052-03-07,2052-03-24
55,173,55,2087-07-16,2087-08-02
56,341,56,2057-03-11,2057-03-30
57,370,57,2076-11-30,2076-12-14
58,266,58,2032-03-15,2032-03-25
59,445,59,2053-06-21,2053-06-23
60,217,60,2089-09-24,2089-10-05
61,49,61,2061-07-27,2061-08-09
62,29,62,2058-11-11,2058-11-26
63,72,63,2074-08-14,2074-08-24
64,89,64,2067-05-30,2067-06-11
65,422,65,2050-07-09,2050-07-21
66,402,66,2069-12-22,2069-12-26
67,423,67,2070-10-23,2070-11-05
68,99,68,2051-09-24,2051-10-07
69,313,69,2038-08-02,2038-08-07
70,64,70,2029-05-03,2029-05-17
71,46,71,2022-10-12,2022-10-24
72,328,72,2075-12-29,2076-01-17
73,337,73,2042-01-28,2042-02-09
74,206,74,2087-05-22,2087-06-01
75,259,75,2088-09-02,2088-09-05
76,141,76,2092-08-29,2092-08-31
77,193,77,2071-07-06,2071-07-25
78,417,78,2045-12-30,2046-01-16
79,393,79,2079-10-05,2079-10-05
80,118,80,2085-07-20,2085-08-03
81,127,81,2040-11-18,2040-12-03
82,154,82,2074-10-31,2074-11-18
83,6,83,2047-04-09,2047-04-14
84,378,84,2098-12-04,2098-12-18
85,125,85,2048-01-23,2048-02-01
86,153,86,2060-03-03,2060-03-13
87,114,87,2062-10-16,2062-10-27
88,395,88,2055-09-06,2055-09-22
89,33,89,2098-06-20,2098-07-05
90,248,90,2080-06-17,2080-06-29
91,64,91,2041-06-25,2041-06-29
92,146,92,2020-06-07,2020-06-14
93,438,93,2023-07-24,2023-08-01
94,14,94,2071-01-11,2071-01-20
95,223,95,2099-06-02,2099-06-03
96,158,96,2061-03-18,2061-03-31
97,148,97,2022-07-27,2022-08-02
98,317,98,2086-09-08,2086-09-25
99,216,99,2052-11-16,2052-11-20
100,174,100,2058-03-03,2058-03-03
101,224,101,2040-02-27,2040-03-04
102,397,102,2037-02-07,2037-02-11
103,307,103,2079-06-04,2079-06-04
104,209,104,2031-06-26,2031-07-15
105,376,105,2093-10-16,2093-10-26
106,354,106,2046-05-19,2046-05-23
107,244,107,2034-09-25,2034-10-12
108,129,108,2088-05-02,2088-05-18
109,410,109,2056-10-08,2056-10-15
110,447,110,2087-06-18,2087-06-18
111,365,111,2056-02-23,2056-03-09
112,365,112,2034-04-20,2034-04-25
113,155,113,2021-05-10,2021-05-19
114,89,114,2097-05-25,2097-05-28
115,219,115,2062-01-01,2062-01-03
116,238,116,2022-12-04,2022-12-19
117,209,117,2034-01-30,2034-02-16
118,267,118,2090-08-05,2090-08-13
119,176,119,2048-04-27,2048-05-14
120,411,120,2047-11-20,2047-11-27
121,192,121,2083-08-17,2083-08-29
122,411,122,2050-02-17,2050-03-08
123,163,123,2064-11-20,2064-12-08
124,232,124,2021-09-19,2021-09-26
125,151,125,2080-04-14,2080-04-15
126,267,126,2069-08-22,2069-08-25
127,386,127,2058-02-02,2058-02-14
128,3,128,2064-03-20,2064-04-07
129,302,129,2048-08-08,2048-08-21
130,118,130,2070-04-19,2070-04-20
131,231,131,2045-11-21,2045-11-23
132,48,132,2076-06-26,2076-06-30
133,402,133,2039-01-04,2039-01-09
134,25,134,2038-07-28,2038-08-07
135,354,135,2019-09-13,2019-09-19
136,93,136,2088-01-24,2088-02-03
137,148,137,2056-09-09,2056-09-20
138,296,138,2063-12-01,2063-12-02
139,441,139,2039-07-22,2039-07-26
140,243,140,2021-11-11,2021-11-15
141,383,141,2026-06-14,2026-06-14
142,121,142,2093-10-14,2093-10-21
143,186,143,2075-02-07,2075-02-10
144,314,144,2054-07-01,2054-07-07
145,282,145,2042-07-15,2042-08-03
146,5,146,2044-10-26,2044-11-02
147,303,147,2042-05-08,2042-05-15
148,90,148,2021-09-09,2021-09-12
149,69,149,2078-02-26,2078-03-02
150,242,150,2038-07-27,2038-08-03
151,228,151,2049-06-27,2049-07-12
152,349,152,2080-11-22,2080-11-25
153,233,153,2046-02-28,2046-03-14
154,368,154,2028-03-08,2028-03-27
155,121,155,2063-03-09,2063-03-22
156,233,156,2041-02-22,2041-03-09
157,182,157,2026-01-16,2026-01-18
158,352,158,2068-04-14,2068-05-01
159,239,159,2061-09-18,2061-09-23
160,93,160,2059-01-23,2059-01-30
161,446,161,2092-01-22,2092-01-22
162,166,162,2077-04-22,2077-04-29
163,315,163,2023-01-11,2023-01-23
164,174,164,2079-06-16,2079-06-23
165,359,165,2099-05-09,2099-05-18
166,204,166,2066-08-19,2066-08-29
167,29,167,2063-06-18,2063-07-02
168,381,168,2067-03-25,2067-04-09
169,420,169,2075-02-02,2075-02-03
170,426,170,2048-03-20,2048-03-25
171,238,171,2047-03-05,2047-03-11
172,342,172,2043-12-27,2044-01-05
173,204,173,2094-04-27,2094-05-03
174,258,174,2062-10-12,2062-10-12
175,53,175,2029-05-10,2029-05-27
176,281,176,2025-03-11,2025-03-28
177,199,177,2089-02-16,2089-02-27
178,85,178,2043-03-31,2043-04-08
179,388,179,2021-12-21,2021-12-25
180,42,180,2044-02-10,2044-02-12
181,92,181,2055-01-27,2055-02-01
182,144,182,2035-01-08,2035-01-25
183,381,183,2074-01-10,2074-01-21
184,260,184,2045-12-29,2046-01-09
185,118,185,2035-05-23,2035-05-24
186,286,186,2098-04-29,2098-05-15
187,126,187,2037-08-19,2037-09-01
188,366,188,2034-01-05,2034-01-22
189,340,189,2045-04-18,2045-04-30
190,424,190,2078-04-09,2078-04-19
191,40,191,2050-11-28,2050-12-07
192,53,192,2089-08-23,2089-09-11
193,375,193,2028-06-10,2028-06-17
194,336,194,2087-06-18,2087-06-29
195,327,195,2076-07-21,2076-08-08
196,45,196,2073-08-09,2073-08-17
197,444,197,2038-08-23,2038-09-04
198,297,198,2082-09-30,2082-10-19
199,230,199,2036-12-28,2037-01-13
200,99,200,2051-05-26,2051-06-11
201,49,201,2037-05-02,2037-05-05
202,164,202,2095-06-15,2095-06-19
203,111,203,2064-04-06,2064-04-11
204,431,204,2070-09-12,2070-09-15
205,121,205,2055-09-19,2055-09-29
206,306,206,2063-01-15,2063-01-20
207,449,207,2053-09-18,2053-09-24
208,55,208,2067-05-17,2067-06-05
209,48,209,2069-04-05,2069-04-22
210,433,210,2065-10-24,2065-10-29
211,128,211,2099-08-09,2099-08-17
212,301,212,2030-08-09,2030-08-10
213,107,213,2052-11-07,2052-11-17
214,118,214,2060-09-22,2060-09-30
215,379,215,2057-02-17,2057-03-07
216,369,216,2036-11-02,2036-11-19
217,323,217,2077-09-03,2077-09-07
218,214,218,2086-04-11,2086-04-26
219,257,219,2025-02-27,2025-03-02
220,50,220,2029-06-12,2029-06-13
221,341,221,2088-04-19,2088-05-04
222,336,222,2089-03-03,2089-03-16
223,219,223,2030-12-06,2030-12-24
224,66,224,2097-09-13,2097-09-16
225,181,225,2071-09-30,2071-10-03
226,35,226,2085-10-27,2085-11-08
227,164,227,2055-07-15,2055-08-02
228,0,228,2090-10-07,2090-10-11
229,11,229,2055-06-10,2055-06-19
230,375,230,2062-03-23,2062-03-27
231,91,231,2065-12-29,2066-01-02
232,368,232,2095-11-22,2095-11-27
233,149,233,2090-06-04,2090-06-17
234,435,234,2067-03-18,2067-03-25
235,136,235,2057-06-12,2057-06-28
236,384,236,2022-07-28,2022-08-07
237,288,237,2057-05-26,2057-06-04
238,45,238,2022-03-19,2022-03-28
239,102,239,2026-08-15,2026-09-02
240,152,240,2043-03-03,2043-03-19
241,112,241,2099-08-26,2099-09-02
242,25,242,2066-07-09,2066-07-24
243,68,243,2099-04-28,2099-05-03
244,258,244,2077-08-01,2077-08-13
245,294,245,2097-08-05,2097-08-07
246,98,246,2086-07-25,2086-08-06
247,185,247,2078-10-29,2078-11-17
248,286,248,2041-07-13,2041-07-18
249,54,249,2088-11-08,2088-11-20
250,280,250,2028-04-17,2028-04-23
251,229,251,2040-04-12,2040-04-30
252,92,252,2041-05-29,2041-06-05
253,449,253,2029-02-27,2029-03-07
254,275,254,2054-02-07,2054-02-15
255,366,255,2030-08-01,2030-08-06
256,382,256,2062-12-11,2062-12-12
257,250,257,2087-11-24,2087-11-28
258,108,258,2038-03-30,2038-04-09
259,86,259,2074-09-10,2074-09-16
260,58,260,2083-11-07,2083-11-26
261,24,261,2030-03-21,2030-03-31
262,376,262,2095-02-24,2095-02-24
263,62,263,2024-06-13,2024-06-28
264,200,264,2046-02-21,2046-03-07
265,30,265,2045-09-10,2045-09-16
266,319,266,2041-09-25,2041-09-26
267,408,267,2079-08-09,2079-08-26
268,223,268,2039-10-01,2039-10-01
269,345,269,2091-04-29,2091-05-03
270,62,270,2052-08-16,2052-08-27
271,412,271,2057-01-11,2057-01-17
272,81,272,2088-03-14,2088-03-22
273,444,273,2019-04-19,2019-04-23
274,286,274,2099-03-10,2099-03-17
275,136,275,2034-05-30,2034-06-18
276,140,276,2087-10-17,2087-10-24
277,307,277,2077-08-18,2077-08-29
278,220,278,2086-10-30,2086-10-31
279,204,279,2050-11-10,2050-11-20
280,408,280,2072-11-06,2072-11-24
281,222,281,2048-08-08,2048-08-16
282,438,282,2045-12-30,2046-01-17
283,38,283,2033-10-10,2033-10-22
284,81,284,2061-05-23,2061-06-08
285,16,285,2071-03-17,2071-04-01
286,207,286,2064-12-23,2065-01-11
287,312,287,2075-01-03,2075-01-22
288,435,288,2042-05-23,2042-05-30
289,401,289,2057-02-13,2057-03-04
290,229,290,2066-01-26,2066-02-08
291,301,291,2033-10-12,2033-10-12
292,255,292,2089-01-04,2089-01-08
293,24,293,2050-05-07,2050-05-08
294,131,294,2039-07-31,2039-08-11
295,210,295,2052-03-25,2052-03-28
296,301,296,2089-07-14,2089-07-28
297,22,297,2042-07-29,2042-08-16
298,233,298,2068-05-16,2068-05-17
299,24,299,2024-07-25,2024-07-30
300,106,300,2085-11-30,2085-12-05
301,179,301,2030-01-10,2030-01-16
302,412,302,2097-02-08,2097-02-11
303,142,303,2026-09-27,2026-10-14
304,345,304,2063-05-12,2063-05-26
305,25,305,2022-01-27,2022-02-11
306,427,306,2096-01-12,2096-01-29
307,207,307,2049-10-04,2049-10-09
308,73,308,2057-05-06,2057-05-24
309,237,309,2034-08-18,2034-09-02
310,88,310,2098-05-25,2098-05-30
311,21,311,2087-11-20,2087-12-07
312,189,312,2073-10-24,2073-11-05
313,178,313,2075-10-27,2075-11-08
314,128,314,2085-05-25,2085-05-28
315,164,315,2025-11-11,2025-11-13
316,115,316,2047-01-10,2047-01-18
317,3,317,2064-07-10,2064-07-22
318,203,318,2023-12-06,2023-12-11
319,157,319,2073-08-29,2073-09-10
320,388,320,2052-09-14,2052-09-14
321,40,321,2088-03-26,2088-04-14
322,340,322,2057-05-17,2057-05-17
323,435,323,2083-05-18,2083-06-04
324,353,324,2061-03-16,2061-03-21
325,57,325,2079-04-14,2079-04-22
326,97,326,2064-11-11,2064-11-27
327,51,327,2074-02-22,2074-02-28
328,359,328,2049-12-15,2049-12-25
329,243,329,2030-07-04,2030-07-09
330,404,330,2098-01-09,2098-01-20
331,377,331,2076-09-11,2076-09-27
332,72,332,2088-10-30,2088-11-04
333,94,333,2082-08-10,2082-08-23
334,417,334,2099-09-20,2099-10-09
335,310,335,2062-06-13,2062-06-21
336,321,336,2060-04-15,2060-04-18
337,298,337,2037-05-07,2037-05-14
338,380,338,2025-08-25,2025-09-06
339,237,339,2099-11-19,2099-11-30
340,100,340,2030-04-09,2030-04-12
341,366,341,2091-09-05,2091-09-24
342,223,342,2067-11-08,2067-11-20
343,211,343,2038-03-21,2038-03-26
344,371,344,2039-03-29,2039-04-03
345,439,345,2092-04-22,2092-04-23
346,282,346,2030-03-07,2030-03-12
347,339,347,2045-10-13,2045-10-26
348,12,348,2037-06-10,2037-06-13
349,259,349,2079-04-22,2079-04-28
350,374,350,2036-08-31,2036-09-05
351,36,351,2092-07-22,2092-07-27
352,1,352,2027-06-05,2027-06-20
353,286,353,2069-07-29,2069-08-04
354,208,354,2042-06-06,2042-06-07
355,36,355,2086-03-28,2086-04-15
356,404,356,2058-03-29,2058-04-17
357,46,357,2093-03-05,2093-03-23
358,85,358,2076-03-03,2076-03-21
359,174,359,2052-11-18,2052-11-19
360,159,360,2077-07-30,2077-08-15
361,387,361,2074-05-25,2074-06-10
362,426,362,2048-09-14,2048-10-01
363,1,363,2092-12-05,2092-12-16
