restid,nombre_restaurant,direccion,telefono,descripcion_restaurant,rid,pid,nombre_plato,descripcion,precio
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,0,Fettuccini con espárragos y jamón,Error distinctio porro laboriosam dicta quaerat. Laudantium ex natus beatae iusto.,23126.02
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,1,Ensalada de calabacín y pollo,Quos officia voluptatum porro. Adipisci vero accusantium totam laboriosam velit non eaque. Eos dolor eos vel.,2912.33
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,2,Ensalada tibia de judías verdes con vinagreta de tomate,Odit itaque molestias commodi quae. Animi doloribus facilis eligendi facere. Perferendis quasi ipsum quae.,12319.89
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,3,Pollo frito,Eos dolorem aliquid velit similique numquam ullam. Quod omnis labore occaecati delectus blanditiis. Ad earum quam eos deserunt provident. Natus dolorum voluptatibus iste ipsa consectetur maiores.,23064.26
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,4,Caballa en escabeche,Tempora omnis vitae excepturi consequuntur. Accusantium aut nihil id exercitationem mollitia. Atque doloremque id fugiat.,12948.63
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,5,Ensalada de trigueros y atún fresco,Officiis fugit dolorem minima eligendi vel at. Neque consequatur quia harum exercitationem aliquid id. Porro impedit eaque quas. Delectus libero optio animi minima.,13368.05
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,6,Ensalada de espinacas con jamón y vinagreta de cacahuetes,Distinctio provident ex reprehenderit ipsum magnam deleniti. Unde nulla debitis natus reiciendis sint. Quaerat et nobis animi quasi ullam.,6906.99
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,7,Ensalada de pollo con anacardos,Quisquam sapiente ipsum rerum earum consequuntur fugiat. Magni voluptatibus vero at quis sit. Officiis tempore rerum.,9492.16
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,8,"Ensalada de pollo, queso fresco y piñones",Hic nemo dolorum repellat libero vero quaerat. Iure cupiditate cumque voluptatibus totam unde quasi iure.,5989.3
0,Proyectos Cervantes-Huerta,Pasaje Pedraza 140 Interior 119,+56941095671,Eius consequuntur vero suscipit sint. Occaecati delectus eaque molestias accusantium. Vel nisi veritatis quasi.,0,9,Solomillo al jerez,Repellendus impedit repellendus voluptatem harum. Repudiandae corporis omnis facere. Quasi unde corrupti inventore nulla nemo iste.,5082.77
