eid,vinoid
709,129
709,149
709,30
851,127
851,125
851,140
605,9
605,233
605,202
15,83
15,109
15,121
717,135
717,156
717,168
930,204
930,5
930,185
312,214
312,37
312,121
668,5
668,7
668,178
954,80
954,160
954,199
803,101
803,165
803,25
847,237
847,74
847,33
294,232
294,188
294,219
773,190
773,231
773,38
482,219
482,0
482,186
499,50
499,23
499,30
379,171
379,81
379,137
340,87
340,235
340,139
472,165
472,107
472,61
449,195
449,218
449,25
943,116
943,169
943,165
719,167
719,63
719,3
431,212
431,230
431,8
459,174
459,3
459,211
105,228
105,68
105,110
467,237
467,110
467,53
417,219
417,109
417,57
653,231
653,160
653,142
99,193
99,109
99,113
83,128
83,26
83,59
679,122
679,177
679,112
913,1
913,115
913,27
721,43
721,5
721,223
88,7
88,205
88,80
232,99
232,0
232,31
681,92
681,224
681,80
856,232
856,2
856,219
881,53
881,222
881,211
914,185
914,104
914,183
968,91
968,145
968,190
852,199
852,61
852,129
886,51
886,187
886,44
476,101
476,67
476,90
525,218
525,196
525,14
593,82
593,124
593,214
55,55
55,64
55,105
667,144
667,149
667,134
48,111
48,150
48,128
153,202
153,1
153,236
823,176
823,74
823,88
313,104
313,132
313,41
612,43
612,90
612,118
956,6
956,104
956,181
419,8
419,221
419,189
631,165
631,128
631,94
372,174
372,69
372,106
286,130
286,206
286,216
685,185
685,85
685,29
903,109
903,5
903,184
248,83
248,239
248,159
141,195
141,143
141,81
439,40
439,201
439,67
190,144
190,206
190,160
970,56
970,103
970,204
186,212
186,160
186,31
676,181
676,132
676,22
836,205
836,21
836,214
778,37
778,39
778,183
188,50
188,201
188,73
205,205
205,161
205,39
517,86
517,172
517,165
16,38
16,29
16,186
866,108
866,117
866,192
277,26
277,111
277,158
812,158
812,195
812,47
118,219
118,237
118,111
92,189
92,79
92,232
599,117
599,160
599,199
490,99
490,36
490,77
244,103
244,31
244,194
988,5
988,204
988,165
565,10
565,56
565,211
837,112
837,76
837,28
787,149
787,234
787,33
636,14
636,119
636,23
788,228
788,213
788,234
766,111
766,40
766,209
53,47
53,179
53,185
73,66
73,35
73,48
370,123
370,7
370,156
898,193
898,204
898,55
936,46
936,124
936,83
473,119
473,175
473,76
285,204
285,132
285,82
447,199
447,33
447,191
149,18
149,188
149,40
0,87
0,219
0,157
941,140
941,205
941,98
818,86
818,60
818,88
297,159
297,101
297,60
694,184
694,70
694,64
231,118
231,51
231,171
365,53
365,215
365,185
743,124
743,9
743,133
765,158
765,222
765,61
537,174
537,51
537,84
31,66
31,233
31,65
998,136
998,60
998,109
302,1
302,237
302,15
427,141
427,203
427,33
272,78
272,7
272,213
558,196
558,157
558,117
496,63
496,22
496,161
475,214
475,188
475,48
163,150
163,78
163,69
678,187
678,175
678,190
168,50
168,161
168,67
227,30
227,175
227,233
54,90
54,23
54,58
240,140
240,229
240,93
592,57
592,136
592,47
266,109
266,148
266,106
225,126
225,40
225,123
72,31
72,68
72,80
932,166
932,158
932,186
148,51
148,220
148,53
961,99
961,96
961,174
204,62
204,163
204,85
18,31
18,73
18,137
11,42
11,190
11,134
187,225
187,191
187,185
951,118
951,225
951,1
27,122
27,94
27,206
574,154
574,4
574,33
4,145
4,141
4,150
623,156
623,111
623,203
919,110
919,67
919,93
590,225
590,15
590,19
489,207
489,144
489,57
871,88
871,223
871,41
75,239
75,9
75,204
821,10
821,176
821,222
460,117
460,132
460,205
780,68
780,65
780,60
348,92
348,150
348,72
849,156
849,119
849,91
219,61
219,224
219,164
850,16
850,5
850,189
264,166
264,7
264,185
61,49
61,186
61,233
568,142
568,180
568,75
298,51
298,225
298,143
2,75
2,179
2,174
602,72
602,211
602,136
253,100
253,123
253,50
443,210
443,146
443,62
501,31
501,230
501,74
60,140
60,219
60,172
200,202
200,48
200,157
604,179
604,216
604,76
824,56
824,128
824,169
964,150
964,3
964,235
536,65
536,233
536,27
691,41
691,59
691,137
353,49
353,99
353,134
867,114
867,211
867,27
493,231
493,113
493,34
597,5
597,180
597,7
957,15
957,189
957,45
621,26
621,167
621,100
341,20
341,204
341,219
977,15
977,7
977,70
551,69
551,155
551,19
938,109
938,176
938,228
972,61
972,233
972,17
791,69
791,177
791,139
288,196
288,5
288,88
230,217
230,5
230,206
902,28
902,199
902,37
854,180
854,134
854,237
969,76
969,143
969,87
937,180
937,171
937,121
868,54
868,146
868,196
870,115
870,112
870,118
626,65
626,106
626,182
704,125
704,204
704,146
319,107
319,12
319,25
708,4
708,122
708,221
750,119
750,76
750,133
189,128
189,142
189,215
834,54
834,4
834,194
28,103
28,122
28,5
872,232
872,186
872,64
10,155
10,180
10,125
600,87
600,38
600,151
926,14
926,26
926,102
245,182
245,228
245,134
995,236
995,184
995,216
9,216
9,152
9,210
97,148
97,10
97,208
494,1
494,224
494,86
444,75
444,217
444,49
108,118
108,119
108,134
997,239
997,64
997,3
22,216
22,181
22,34
665,57
665,20
665,120
129,197
129,123
129,80
226,2
226,71
226,76
538,202
538,150
538,10
752,194
752,46
752,85
477,35
477,127
477,197
582,181
582,179
582,14
611,162
611,3
611,87
905,173
905,115
905,77
486,5
486,62
486,94
157,125
157,144
157,21
390,155
390,232
390,47
422,149
422,105
422,173
878,198
878,215
878,78
991,60
991,5
991,107
337,121
337,31
337,186
237,149
237,48
237,42
768,131
768,126
768,117
40,130
40,96
40,137
893,196
893,3
893,191
770,132
770,44
770,226
216,54
216,132
216,96
210,88
210,163
210,211
267,117
267,22
267,180
862,80
862,16
862,128
900,153
900,84
900,28
356,144
356,2
356,182
90,231
90,202
90,151
5,203
5,77
5,168
44,82
44,11
44,28
761,137
761,121
761,54
842,80
842,181
842,102
84,42
84,68
84,61
718,138
718,74
718,177
354,82
354,89
354,43
608,141
608,204
608,119
540,155
540,228
540,209
846,206
846,109
846,11
331,232
331,119
331,134
819,35
819,194
819,131
553,14
553,0
553,6
271,94
271,39
271,66
268,5
268,222
268,18
722,223
722,127
722,206
666,193
666,41
666,222
524,195
524,83
524,16
393,166
393,43
393,91
63,93
63,158
63,123
283,42
283,133
283,113
366,200
366,16
366,20
485,123
485,29
485,166
877,195
877,127
877,84
618,99
618,118
618,165
876,157
876,54
876,105
323,73
323,102
323,37
944,27
944,29
944,36
303,29
303,150
303,233
261,11
261,2
261,95
522,6
522,69
522,70
