rid,nombre_parque,hectareas,descripcion_parque,tarifa,pid,aid,nombre_atractivo,descripcion_atractivo,url_atractivo
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,0,VIAJE DE UN,Commodi quis explicabo magni quae eveniet. Dolore consequatur necessitatibus optio eos nostrum. Error ex dolorum architecto dolores numquam.,http://lorempixel.com/265/295/nature/
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,1,LA ALBINAS TEJA,Voluptate facere harum. Eius eius voluptates praesentium. Possimus reiciendis omnis quos.,http://lorempixel.com/310/313/nature/
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,2,A RONDA ALGAIDA,Repellendus nostrum eaque deserunt neque debitis. Cum praesentium delectus repudiandae officia. Dolore exercitationem sit nihil error.,http://lorempixel.com/301/286/nature/
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,3,DE FUENTE RAMOS,Illo natus hic autem accusamus. Amet consequatur fuga sequi reiciendis aliquam. Eveniet animi veritatis blanditiis voluptas eius optio.,http://lorempixel.com/287/343/nature/
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,4,PUERTA DE CHICLANA,Suscipit ex sunt tempora.,http://lorempixel.com/331/377/nature/
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,5,RURALES FUENTES DE,Omnis eius quam perspiciatis ad. Dolore excepturi fugit soluta. Officiis eius vel quod dolorem itaque suscipit. Sequi corrupti nemo suscipit quae consequatur minus.,http://lorempixel.com/394/313/nature/
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,6,FRONTERIZO FUENTE RAMOS,Omnis quidem dolorum. Iure sequi corrupti nemo.,http://lorempixel.com/251/211/nature/
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,7,DE CORDERO TAJO,Ducimus et possimus ipsum sunt. Hic pariatur ullam corrupti dolores. Iste praesentium perspiciatis labore. Eligendi saepe blanditiis sint repellat a.,http://lorempixel.com/353/324/nature/
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,8,ARILLO - VERDE,Doloribus omnis cupiditate. Quisquam ex doloribus vitae aperiam natus animi.,http://lorempixel.com/320/319/nature/
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,9,EL BOLONIA-PULIDO TREN,Aperiam perspiciatis qui ut nesciunt. Dicta placeat voluptatum quo repellendus quos unde. Laborum nihil blanditiis incidunt unde.,http://lorempixel.com/206/376/nature/
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,10,LA DE CAMINO,Magni nihil nostrum qui. Vel magnam quis corrupti. Voluptatem cupiditate nihil perspiciatis doloribus.,http://lorempixel.com/253/260/nature/
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,11,FRONTERA ESPARRAGAL VERDE,Illo molestias dolore nostrum aut iusto ea et. Ut nostrum facere eveniet eos.,http://lorempixel.com/300/279/nature/
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,12,LA FUENTES MENACHA,Ipsam laudantium vitae ab eum laboriosam aspernatur.,http://lorempixel.com/380/265/nature/
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,13,LAS GETARES DE,Unde assumenda nisi eligendi autem dolores modi. Quasi labore nesciunt assumenda.,http://lorempixel.com/253/384/nature/
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,14,ROCHE HONDO RÍO,Repellendus laudantium deserunt quibusdam. Ratione maiores ipsam. Consectetur voluptatibus alias molestias perspiciatis.,http://lorempixel.com/294/305/nature/
1,Reserva Nacional La Chimba,489423,Ullam suscipit repellat nostrum saepe.,4015.7,4,15,DE EL CAMINOS,Saepe nisi commodi odio quisquam reiciendis deserunt.,http://lorempixel.com/245/388/nature/
1,Reserva Nacional La Chimba,489423,Ullam suscipit repellat nostrum saepe.,4015.7,4,16,RETÍN DEL LA,Id perferendis vel autem iste rerum. Aliquam quis nobis exercitationem dolore et labore.,http://lorempixel.com/376/273/nature/
1,Reserva Nacional La Chimba,489423,Ullam suscipit repellat nostrum saepe.,4015.7,4,17,OJO DEL VICOS,Nihil ut similique magni.,http://lorempixel.com/328/308/nature/
1,Reserva Nacional La Chimba,489423,Ullam suscipit repellat nostrum saepe.,4015.7,4,18,EL CARRASCÓN SALTADERO,Vel optio error eligendi. Nemo mollitia dolores totam iusto. Quis debitis libero.,http://lorempixel.com/223/336/nature/
1,Reserva Nacional La Chimba,489423,Ullam suscipit repellat nostrum saepe.,4015.7,4,19,LA LA FRONTERA,Alias beatae adipisci corrupti deleniti doloribus sunt. Illum doloribus nihil atque aliquid pariatur.,http://lorempixel.com/225/280/nature/
1,Parque Nacional Morro Moreno,765501,Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.,21917.22,5,20,DEL DE ARROYO,Similique harum dolores adipisci ut. Fugiat maiores voluptate maiores. Impedit labore voluptatem deserunt quos unde. Mollitia eligendi reprehenderit fugiat laborum.,http://lorempixel.com/239/361/nature/
1,Parque Nacional Morro Moreno,765501,Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.,21917.22,5,21,DE FRONTERA-CANTARRANAS PEDRIZA,Unde ullam necessitatibus ducimus facilis distinctio quos. Maiores aspernatur deleniti ratione debitis nesciunt cumque quisquam. Nam aliquid ducimus praesentium sequi.,http://lorempixel.com/331/314/nature/
1,Parque Nacional Morro Moreno,765501,Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.,21917.22,5,22,CARBONEROS GUADALMESÍ SALINA,Quae cupiditate sunt ducimus velit ex. Aut accusantium totam ipsam aliquid quam vero cumque. Pariatur quos maiores odit.,http://lorempixel.com/299/234/nature/
1,Parque Nacional Morro Moreno,765501,Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.,21917.22,5,23,DE ESPERA CALAS,Totam eum soluta molestias adipisci sapiente delectus laudantium.,http://lorempixel.com/276/388/nature/
1,Parque Nacional Morro Moreno,765501,Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.,21917.22,5,24,LOS PALMONES DEL,Debitis adipisci quos quas. Quibusdam ad eaque deleniti consequatur. Unde fugit corrupti ipsum ducimus molestiae voluptate.,http://lorempixel.com/299/372/nature/
1,Monumento Natural Paposo Norte,244363,Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.,7964.7,6,25,ALBARRACINEJO CERRO DE,Ducimus reprehenderit culpa accusantium occaecati explicabo veritatis. Cumque accusantium qui nostrum eum vel error.,http://lorempixel.com/226/382/nature/
1,Monumento Natural Paposo Norte,244363,Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.,7964.7,6,26,MECA DE CABO,Cupiditate in dicta illo. Voluptatibus quisquam illo autem voluptatibus.,http://lorempixel.com/313/388/nature/
1,Monumento Natural Paposo Norte,244363,Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.,7964.7,6,27,ANTÓN DE SAN,Ab facere id. Nostrum dolore eligendi. Magni asperiores nulla dolorem rem.,http://lorempixel.com/345/312/nature/
1,Monumento Natural Paposo Norte,244363,Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.,7964.7,6,28,- DEL -,Aliquid repellendus veniam corporis. Fugiat esse eum fugiat illum.,http://lorempixel.com/225/297/nature/
1,Monumento Natural Paposo Norte,244363,Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.,7964.7,6,29,DE DEL CERRO,Dicta non earum quasi assumenda omnis. Delectus voluptatem eaque nostrum inventore.,http://lorempixel.com/301/250/nature/
1,Parque Nacional Llullaillaco,573728,Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.,15397.01,7,30,DE LAS JUDÍO,Repellat iusto pariatur doloremque quo.,http://lorempixel.com/242/252/nature/
