rid,nombre_parque,hectareas,descripcion_parque,tarifa,pid,sid,nombre_sendero,largo,dificultad,duracion
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,0,LOMAS GANADERAS DE JIMENA LANCES,11589.5565,ALTA,221
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,1,COMPLEJO ENDORREICO DE CHICLANA ,18795.3172,MUY BAJA,70
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,2,ESCARPES DEL RIO TREJO DEL LITORAL DE ROTA,2290.9319,MUY BAJA,169
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,3,CALAS DE ALGECIRAS CARRASCÓN,19913.4784,MUY ALTA,137
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,4,CONIL DE LA FRONTERA-VEJER DE LA FRONTERA QUEBRADAS,12455.0758,MUY ALTA,184
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,5,COVEZUELAS-CHARCA VERDE LAGARÍN,14815.9509,BAJA,227
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,6,COLA DEL EMBALSE DE ARCOS VERDE DEL LITORAL COSTA BALLENA-CHIPIONA,5467.4106,PROFESIONAL,259
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,7,FUENTES DEL RÍO HONDÓN VERDE,1066.3315,PROFESIONAL,112
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,8,OCURI ALGARBES-BETIJUELO,6587.0264,MUY BAJA,95
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,9,ARROYO CAÑUELO SALINA-FANGOS MAREALES DEL RÍO BARBATE,14706.3761,MEDIA,195
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,10,RUTA DEL VIAJERO Y TAJO,7586.9423,MUY BAJA,216
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,11,SUBIDA A LA CRUZ DEL TAJO DE UBRIQUE TORREÓN,2527.0055,BAJA,141
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,12,SUBIDA A LA CRUZ DEL TAJO DE UBRIQUE DE LA ESPERANZA,10978.0406,ALTA,148
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,13,CASTILLO MEDIEVAL DE GIGONZA DEL DESCANSADERO,8605.4453,MUY ALTA,71
0,Parque Nacional Volcán Isulga,558126,Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.,14368.08,0,14,MARISMAS DEL BARBATE CANALIZO DE LA SIERRA DE LÍJAR,16745.41,MEDIA,238
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,15,SUBIDA A LA SILLA SALTADERO,14579.0772,MUY ALTA,145
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,16,CAMINO DE LAS SALINAS DE LAS PRESILLAS,9660.2618,PROFESIONAL,105
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,17,SIERRAS DEL RETÍN Y LA PLATA ALMORAIMA,17294.5125,PROFESIONAL,241
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,18,EL CARRASCÓN DE LA FUENTE SANTA,13320.1303,BAJA,133
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,19,SALINA CARBONEROS GARGANTE VERDE,17138.6486,MEDIA,94
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,20,GARGANTA DE BOGAS LADERA,18358.9332,ALTA,201
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,21,GARGANTA SECA Y PUERTO DE LA BREÑA DEL RAYO,14342.7363,MUY ALTA,264
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,22,LA GARGANTE VERDE DEL EMBALSE DE BORNOS,10884.7867,MUY BAJA,204
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,23,RUTA DEL VIAJERO LAGARÍN,11621.7165,MUY BAJA,189
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,24,CALLEJÓN DE LAS MOCITAS LOMAS DE CÁMARA,12030.0267,MUY BAJA,212
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,25,RUINAS DE ESPERILLA TOLETA,19840.5409,BAJA,176
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,26,LA ALBINA AL CERRO PICACHO DE PUERTO SERRANO,19471.6481,MUY BAJA,105
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,27,LA TEJA EXTENSA VEGA DE BORNOS,15525.6612,MUY ALTA,142
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,28,ERMITA DE LOS REMEDIOS DEL RABEL,6131.7618,ALTA,102
0,Reserva Nacional Pampa del Tamarugal,528709,Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.,20351.32,1,29,CORREDOR VERDE DOS BAHIAS. TRAMO I DE LA CAÑADA DE MÁLAGA,5289.622,BAJA,240
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,30,CARISSA AURELIA VERDE DEL LITORAL COSTA BALLENA-CHIPIONA,5503.6664,MUY ALTA,181
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,31,SUBIDA AL CERRO PICACHO DE PUERTO SERRANO ROCHE,8259.9731,BAJA,267
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,32,LLANOS DE LÍBAR VERDE DE ALGECIRAS,17007.0929,PROFESIONAL,74
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,33,DEHESA DEL BOYAR VERDE DE LA COSTA NOROESTE,18443.2702,MUY BAJA,183
1,Parque Nacional Pan de Azúcar,388596,Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.,5708.49,3,34,PUERTA VERDE DE SAN FERNANDO AGUILILLAS - LAS GUAREÑAS,14309.8708,BAJA,282
